
========> The following is the setup for this run:

2021_7_29_15_20_24_data_cifar10_arch_conv2_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0002_lrpolicy_constant_lr_ep_1

arch: conv2
pretrained: False
resume: 
dataname: cifar10
datapath: ./data/cifar10/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0002
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: 0
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: cifar10_conv2_train
logterminal: True
save_stages: False
gpu_idx: ['4']
local_rank: 0
channels_last: False
prepruned_model: False
pruning_strategy: lottery
percent: 0
initial_stage: 0
stages: 1
local_prune: False
prune_bias: False
prune_bn: False
local_quant: False
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 35195.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['4'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 4 whose id is 0 is being used for training of the current process.

Files already downloaded and verified
=> The model, i.e., conv2, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/ 834] | Time(avg): 0.86 | Speed: (pics/sec):   694
Learning rate: 0.00020000 | Curr loss: 5.5850 | Avg loss: 5.5755 | Prec@1(avg) 11.83 % | Prec@5(avg) 51.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/ 834] | Time(avg): 0.57 | Speed: (pics/sec):  1046
Learning rate: 0.00020000 | Curr loss: 2.3669 | Avg loss: 4.4971 | Prec@1(avg) 11.92 % | Prec@5(avg) 54.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/ 834] | Time(avg): 0.46 | Speed: (pics/sec):  1293
Learning rate: 0.00020000 | Curr loss: 2.1983 | Avg loss: 3.7792 | Prec@1(avg) 13.89 % | Prec@5(avg) 57.56 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/ 834] | Time(avg): 0.42 | Speed: (pics/sec):  1420
Learning rate: 0.00020000 | Curr loss: 2.2411 | Avg loss: 3.3606 | Prec@1(avg) 16.21 % | Prec@5(avg) 61.37 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/ 834] | Time(avg): 0.39 | Speed: (pics/sec):  1548
Learning rate: 0.00020000 | Curr loss: 2.0097 | Avg loss: 3.1142 | Prec@1(avg) 17.17 % | Prec@5(avg) 63.87 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/ 834] | Time(avg): 0.36 | Speed: (pics/sec):  1682
Learning rate: 0.00020000 | Curr loss: 2.0423 | Avg loss: 2.9362 | Prec@1(avg) 18.47 % | Prec@5(avg) 65.97 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/ 834] | Time(avg): 0.35 | Speed: (pics/sec):  1729
Learning rate: 0.00020000 | Curr loss: 1.8485 | Avg loss: 2.8056 | Prec@1(avg) 19.52 % | Prec@5(avg) 67.69 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/ 834] | Time(avg): 0.34 | Speed: (pics/sec):  1790
Learning rate: 0.00020000 | Curr loss: 1.9120 | Avg loss: 2.7013 | Prec@1(avg) 20.58 % | Prec@5(avg) 69.23 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/ 834] | Time(avg): 0.32 | Speed: (pics/sec):  1885
Learning rate: 0.00020000 | Curr loss: 1.8097 | Avg loss: 2.6182 | Prec@1(avg) 21.43 % | Prec@5(avg) 70.41 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/ 834] | Time(avg): 0.32 | Speed: (pics/sec):  1903
Learning rate: 0.00020000 | Curr loss: 1.9777 | Avg loss: 2.5510 | Prec@1(avg) 22.02 % | Prec@5(avg) 71.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/ 834] | Time(avg): 0.31 | Speed: (pics/sec):  1934
Learning rate: 0.00020000 | Curr loss: 2.0092 | Avg loss: 2.4848 | Prec@1(avg) 23.24 % | Prec@5(avg) 72.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 120/ 834] | Time(avg): 0.30 | Speed: (pics/sec):  1991
Learning rate: 0.00020000 | Curr loss: 1.8055 | Avg loss: 2.4331 | Prec@1(avg) 24.07 % | Prec@5(avg) 73.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 130/ 834] | Time(avg): 0.30 | Speed: (pics/sec):  1979
Learning rate: 0.00020000 | Curr loss: 1.8030 | Avg loss: 2.3932 | Prec@1(avg) 24.60 % | Prec@5(avg) 73.97 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 140/ 834] | Time(avg): 0.30 | Speed: (pics/sec):  1983
Learning rate: 0.00020000 | Curr loss: 1.6618 | Avg loss: 2.3480 | Prec@1(avg) 25.33 % | Prec@5(avg) 74.88 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 150/ 834] | Time(avg): 0.30 | Speed: (pics/sec):  2017
Learning rate: 0.00020000 | Curr loss: 1.6093 | Avg loss: 2.3122 | Prec@1(avg) 26.10 % | Prec@5(avg) 75.46 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 160/ 834] | Time(avg): 0.30 | Speed: (pics/sec):  2014
Learning rate: 0.00020000 | Curr loss: 1.7668 | Avg loss: 2.2788 | Prec@1(avg) 26.67 % | Prec@5(avg) 76.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 170/ 834] | Time(avg): 0.29 | Speed: (pics/sec):  2054
Learning rate: 0.00020000 | Curr loss: 1.8359 | Avg loss: 2.2490 | Prec@1(avg) 27.30 % | Prec@5(avg) 76.51 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 180/ 834] | Time(avg): 0.29 | Speed: (pics/sec):  2081
Learning rate: 0.00020000 | Curr loss: 1.6948 | Avg loss: 2.2237 | Prec@1(avg) 27.72 % | Prec@5(avg) 76.88 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 190/ 834] | Time(avg): 0.29 | Speed: (pics/sec):  2099
Learning rate: 0.00020000 | Curr loss: 1.9271 | Avg loss: 2.2020 | Prec@1(avg) 27.95 % | Prec@5(avg) 77.30 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/ 834] | Time(avg): 0.28 | Speed: (pics/sec):  2139
Learning rate: 0.00020000 | Curr loss: 1.9724 | Avg loss: 2.1802 | Prec@1(avg) 28.49 % | Prec@5(avg) 77.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/ 834] | Time(avg): 0.28 | Speed: (pics/sec):  2107
Learning rate: 0.00020000 | Curr loss: 1.7350 | Avg loss: 2.1567 | Prec@1(avg) 28.98 % | Prec@5(avg) 78.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/ 834] | Time(avg): 0.28 | Speed: (pics/sec):  2136
Learning rate: 0.00020000 | Curr loss: 1.9256 | Avg loss: 2.1383 | Prec@1(avg) 29.36 % | Prec@5(avg) 78.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/ 834] | Time(avg): 0.28 | Speed: (pics/sec):  2163
Learning rate: 0.00020000 | Curr loss: 1.7376 | Avg loss: 2.1222 | Prec@1(avg) 29.68 % | Prec@5(avg) 78.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/ 834] | Time(avg): 0.28 | Speed: (pics/sec):  2175
Learning rate: 0.00020000 | Curr loss: 1.7156 | Avg loss: 2.1020 | Prec@1(avg) 30.20 % | Prec@5(avg) 79.22 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/ 834] | Time(avg): 0.27 | Speed: (pics/sec):  2192
Learning rate: 0.00020000 | Curr loss: 1.5934 | Avg loss: 2.0814 | Prec@1(avg) 30.73 % | Prec@5(avg) 79.61 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/ 834] | Time(avg): 0.27 | Speed: (pics/sec):  2226
Learning rate: 0.00020000 | Curr loss: 1.5447 | Avg loss: 2.0618 | Prec@1(avg) 31.22 % | Prec@5(avg) 80.03 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/ 834] | Time(avg): 0.27 | Speed: (pics/sec):  2247
Learning rate: 0.00020000 | Curr loss: 1.7566 | Avg loss: 2.0442 | Prec@1(avg) 31.73 % | Prec@5(avg) 80.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2283
Learning rate: 0.00020000 | Curr loss: 1.4466 | Avg loss: 2.0285 | Prec@1(avg) 32.11 % | Prec@5(avg) 80.68 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2286
Learning rate: 0.00020000 | Curr loss: 1.5775 | Avg loss: 2.0141 | Prec@1(avg) 32.52 % | Prec@5(avg) 80.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 300/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2272
Learning rate: 0.00020000 | Curr loss: 1.4240 | Avg loss: 1.9990 | Prec@1(avg) 32.86 % | Prec@5(avg) 81.32 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 310/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2288
Learning rate: 0.00020000 | Curr loss: 1.5400 | Avg loss: 1.9866 | Prec@1(avg) 33.18 % | Prec@5(avg) 81.62 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 320/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2273
Learning rate: 0.00020000 | Curr loss: 1.7057 | Avg loss: 1.9767 | Prec@1(avg) 33.35 % | Prec@5(avg) 81.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 330/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2277
Learning rate: 0.00020000 | Curr loss: 1.4398 | Avg loss: 1.9644 | Prec@1(avg) 33.62 % | Prec@5(avg) 82.07 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 340/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2287
Learning rate: 0.00020000 | Curr loss: 1.4688 | Avg loss: 1.9530 | Prec@1(avg) 33.88 % | Prec@5(avg) 82.27 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 350/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2290
Learning rate: 0.00020000 | Curr loss: 1.8418 | Avg loss: 1.9425 | Prec@1(avg) 34.11 % | Prec@5(avg) 82.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 360/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2307
Learning rate: 0.00020000 | Curr loss: 1.6754 | Avg loss: 1.9318 | Prec@1(avg) 34.43 % | Prec@5(avg) 82.70 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 370/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2316
Learning rate: 0.00020000 | Curr loss: 1.3334 | Avg loss: 1.9215 | Prec@1(avg) 34.71 % | Prec@5(avg) 82.93 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 380/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2317
Learning rate: 0.00020000 | Curr loss: 1.5066 | Avg loss: 1.9102 | Prec@1(avg) 35.06 % | Prec@5(avg) 83.14 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 390/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2329
Learning rate: 0.00020000 | Curr loss: 1.4713 | Avg loss: 1.9018 | Prec@1(avg) 35.26 % | Prec@5(avg) 83.32 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 400/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2342
Learning rate: 0.00020000 | Curr loss: 1.2167 | Avg loss: 1.8907 | Prec@1(avg) 35.55 % | Prec@5(avg) 83.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 410/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2348
Learning rate: 0.00020000 | Curr loss: 1.3181 | Avg loss: 1.8808 | Prec@1(avg) 35.82 % | Prec@5(avg) 83.77 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 420/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2360
Learning rate: 0.00020000 | Curr loss: 1.2126 | Avg loss: 1.8711 | Prec@1(avg) 36.06 % | Prec@5(avg) 83.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 430/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2369
Learning rate: 0.00020000 | Curr loss: 1.6592 | Avg loss: 1.8640 | Prec@1(avg) 36.18 % | Prec@5(avg) 84.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 440/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2376
Learning rate: 0.00020000 | Curr loss: 1.5890 | Avg loss: 1.8559 | Prec@1(avg) 36.39 % | Prec@5(avg) 84.30 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 450/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2374
Learning rate: 0.00020000 | Curr loss: 1.5484 | Avg loss: 1.8491 | Prec@1(avg) 36.60 % | Prec@5(avg) 84.42 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 460/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2376
Learning rate: 0.00020000 | Curr loss: 1.3674 | Avg loss: 1.8409 | Prec@1(avg) 36.82 % | Prec@5(avg) 84.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 470/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2370
Learning rate: 0.00020000 | Curr loss: 1.5786 | Avg loss: 1.8332 | Prec@1(avg) 36.98 % | Prec@5(avg) 84.70 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 480/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2369
Learning rate: 0.00020000 | Curr loss: 1.4563 | Avg loss: 1.8254 | Prec@1(avg) 37.15 % | Prec@5(avg) 84.86 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 490/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2369
Learning rate: 0.00020000 | Curr loss: 1.5523 | Avg loss: 1.8198 | Prec@1(avg) 37.31 % | Prec@5(avg) 84.98 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 500/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2360
Learning rate: 0.00020000 | Curr loss: 1.5378 | Avg loss: 1.8123 | Prec@1(avg) 37.50 % | Prec@5(avg) 85.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 510/ 834] | Time(avg): 0.25 | Speed: (pics/sec):  2354
Learning rate: 0.00020000 | Curr loss: 1.1573 | Avg loss: 1.8045 | Prec@1(avg) 37.74 % | Prec@5(avg) 85.27 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 520/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2323
Learning rate: 0.00020000 | Curr loss: 1.3254 | Avg loss: 1.7975 | Prec@1(avg) 37.91 % | Prec@5(avg) 85.40 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 530/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2330
Learning rate: 0.00020000 | Curr loss: 1.5377 | Avg loss: 1.7913 | Prec@1(avg) 38.08 % | Prec@5(avg) 85.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 540/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2338
Learning rate: 0.00020000 | Curr loss: 1.3060 | Avg loss: 1.7862 | Prec@1(avg) 38.21 % | Prec@5(avg) 85.62 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 550/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2339
Learning rate: 0.00020000 | Curr loss: 1.5579 | Avg loss: 1.7807 | Prec@1(avg) 38.36 % | Prec@5(avg) 85.72 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 560/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2340
Learning rate: 0.00020000 | Curr loss: 1.5919 | Avg loss: 1.7757 | Prec@1(avg) 38.53 % | Prec@5(avg) 85.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 570/ 834] | Time(avg): 0.26 | Speed: (pics/sec):  2314
