
========> The following is the setup for this run:

2021_7_29_16_3_54_data_fashionmnist_arch_conv6_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6
pretrained: False
resume: 
dataname: fashionmnist
datapath: ./data/fashionmnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: fashionmnist_conv6_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 41293.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.95 | Speed: (pics/sec):   632
Learning rate: 0.00030000 | Curr loss: 1.6089 | Avg loss: 2.9466 | Prec@1(avg) 23.17 % | Prec@5(avg) 66.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.64 | Speed: (pics/sec):   938
Learning rate: 0.00030000 | Curr loss: 1.0850 | Avg loss: 2.1329 | Prec@1(avg) 40.92 % | Prec@5(avg) 80.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.50 | Speed: (pics/sec):  1200
Learning rate: 0.00030000 | Curr loss: 1.1741 | Avg loss: 1.7461 | Prec@1(avg) 49.11 % | Prec@5(avg) 85.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.45 | Speed: (pics/sec):  1346
Learning rate: 0.00030000 | Curr loss: 0.6223 | Avg loss: 1.4958 | Prec@1(avg) 54.96 % | Prec@5(avg) 89.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.40 | Speed: (pics/sec):  1491
Learning rate: 0.00030000 | Curr loss: 0.8906 | Avg loss: 1.3713 | Prec@1(avg) 57.73 % | Prec@5(avg) 90.93 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.39 | Speed: (pics/sec):  1554
Learning rate: 0.00030000 | Curr loss: 0.6456 | Avg loss: 1.2614 | Prec@1(avg) 60.56 % | Prec@5(avg) 92.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/1000] | Time(avg): 0.37 | Speed: (pics/sec):  1642
Learning rate: 0.00030000 | Curr loss: 0.9061 | Avg loss: 1.1705 | Prec@1(avg) 63.02 % | Prec@5(avg) 93.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/1000] | Time(avg): 0.34 | Speed: (pics/sec):  1747
Learning rate: 0.00030000 | Curr loss: 0.5229 | Avg loss: 1.1051 | Prec@1(avg) 64.67 % | Prec@5(avg) 93.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/1000] | Time(avg): 0.34 | Speed: (pics/sec):  1789
Learning rate: 0.00030000 | Curr loss: 0.5666 | Avg loss: 1.0499 | Prec@1(avg) 66.22 % | Prec@5(avg) 94.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/1000] | Time(avg): 0.32 | Speed: (pics/sec):  1847
Learning rate: 0.00030000 | Curr loss: 0.6790 | Avg loss: 1.0080 | Prec@1(avg) 67.18 % | Prec@5(avg) 94.97 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/1000] | Time(avg): 0.32 | Speed: (pics/sec):  1886
