
========> The following is the setup for this run:

2021_7_29_1_39_50_data_mnist_arch_conv4_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv4
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv4_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 26218.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv4, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.89 | Speed: (pics/sec):   674
Learning rate: 0.00030000 | Curr loss: 2.3798 | Avg loss: 3.7499 | Prec@1(avg) 13.33 % | Prec@5(avg) 56.33 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.56 | Speed: (pics/sec):  1077
Learning rate: 0.00030000 | Curr loss: 1.1333 | Avg loss: 2.6412 | Prec@1(avg) 35.75 % | Prec@5(avg) 72.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.45 | Speed: (pics/sec):  1338
Learning rate: 0.00030000 | Curr loss: 0.4542 | Avg loss: 2.0067 | Prec@1(avg) 50.72 % | Prec@5(avg) 81.39 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.40 | Speed: (pics/sec):  1510
Learning rate: 0.00030000 | Curr loss: 0.5619 | Avg loss: 1.6195 | Prec@1(avg) 59.58 % | Prec@5(avg) 85.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.36 | Speed: (pics/sec):  1653
Learning rate: 0.00030000 | Curr loss: 0.3502 | Avg loss: 1.3480 | Prec@1(avg) 66.00 % | Prec@5(avg) 88.40 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.35 | Speed: (pics/sec):  1736
Learning rate: 0.00030000 | Curr loss: 0.4707 | Avg loss: 1.1820 | Prec@1(avg) 69.86 % | Prec@5(avg) 90.22 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/1000] | Time(avg): 0.33 | Speed: (pics/sec):  1832
Learning rate: 0.00030000 | Curr loss: 0.1495 | Avg loss: 1.0533 | Prec@1(avg) 72.90 % | Prec@5(avg) 91.60 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1914
Learning rate: 0.00030000 | Curr loss: 0.3395 | Avg loss: 0.9591 | Prec@1(avg) 75.08 % | Prec@5(avg) 92.58 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1921
Learning rate: 0.00030000 | Curr loss: 0.1019 | Avg loss: 0.8775 | Prec@1(avg) 77.00 % | Prec@5(avg) 93.37 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1953
Learning rate: 0.00030000 | Curr loss: 0.0839 | Avg loss: 0.8046 | Prec@1(avg) 78.88 % | Prec@5(avg) 94.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2019
Learning rate: 0.00030000 | Curr loss: 0.2164 | Avg loss: 0.7435 | Prec@1(avg) 80.42 % | Prec@5(avg) 94.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 120/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2029
Learning rate: 0.00030000 | Curr loss: 0.0985 | Avg loss: 0.6910 | Prec@1(avg) 81.78 % | Prec@5(avg) 94.99 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 130/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2075
Learning rate: 0.00030000 | Curr loss: 0.1557 | Avg loss: 0.6499 | Prec@1(avg) 82.81 % | Prec@5(avg) 95.36 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 140/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2142
Learning rate: 0.00030000 | Curr loss: 0.1368 | Avg loss: 0.6135 | Prec@1(avg) 83.77 % | Prec@5(avg) 95.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 150/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2192
Learning rate: 0.00030000 | Curr loss: 0.0937 | Avg loss: 0.5804 | Prec@1(avg) 84.62 % | Prec@5(avg) 95.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 160/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2211
Learning rate: 0.00030000 | Curr loss: 0.1098 | Avg loss: 0.5530 | Prec@1(avg) 85.34 % | Prec@5(avg) 96.20 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 170/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2240
Learning rate: 0.00030000 | Curr loss: 0.0620 | Avg loss: 0.5268 | Prec@1(avg) 86.01 % | Prec@5(avg) 96.42 %

