
========> The following is the setup for this run:

2021_7_29_1_42_38_data_mnist_arch_conv4a_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv4a
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv4a_train
logterminal: False
save_stages: False
gpu_idx: ['6']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 26747.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['6'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 6 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv4a, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.92 | Speed: (pics/sec):   651
Learning rate: 0.00030000 | Curr loss: 2.4026 | Avg loss: 2.7217 | Prec@1(avg) 9.83 % | Prec@5(avg) 50.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.59 | Speed: (pics/sec):  1016
Learning rate: 0.00030000 | Curr loss: 2.2135 | Avg loss: 2.4734 | Prec@1(avg) 14.75 % | Prec@5(avg) 58.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.48 | Speed: (pics/sec):  1254
Learning rate: 0.00030000 | Curr loss: 2.1190 | Avg loss: 2.3600 | Prec@1(avg) 18.50 % | Prec@5(avg) 61.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.41 | Speed: (pics/sec):  1448
Learning rate: 0.00030000 | Curr loss: 1.9667 | Avg loss: 2.2692 | Prec@1(avg) 22.17 % | Prec@5(avg) 65.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.37 | Speed: (pics/sec):  1634
Learning rate: 0.00030000 | Curr loss: 1.8948 | Avg loss: 2.1909 | Prec@1(avg) 24.57 % | Prec@5(avg) 69.43 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.35 | Speed: (pics/sec):  1722
Learning rate: 0.00030000 | Curr loss: 1.6475 | Avg loss: 2.1089 | Prec@1(avg) 28.33 % | Prec@5(avg) 72.78 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/1000] | Time(avg): 0.33 | Speed: (pics/sec):  1800
Learning rate: 0.00030000 | Curr loss: 1.5000 | Avg loss: 2.0265 | Prec@1(avg) 31.48 % | Prec@5(avg) 75.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/1000] | Time(avg): 0.32 | Speed: (pics/sec):  1873
Learning rate: 0.00030000 | Curr loss: 1.3350 | Avg loss: 1.9527 | Prec@1(avg) 33.71 % | Prec@5(avg) 77.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1912
Learning rate: 0.00030000 | Curr loss: 1.2345 | Avg loss: 1.8842 | Prec@1(avg) 36.26 % | Prec@5(avg) 79.70 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/1000] | Time(avg): 0.30 | Speed: (pics/sec):  1976
Learning rate: 0.00030000 | Curr loss: 1.1842 | Avg loss: 1.8191 | Prec@1(avg) 38.55 % | Prec@5(avg) 81.22 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2016
Learning rate: 0.00030000 | Curr loss: 1.2126 | Avg loss: 1.7573 | Prec@1(avg) 40.82 % | Prec@5(avg) 82.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 120/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2052
Learning rate: 0.00030000 | Curr loss: 1.0114 | Avg loss: 1.6977 | Prec@1(avg) 43.24 % | Prec@5(avg) 83.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 130/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2099
Learning rate: 0.00030000 | Curr loss: 0.8110 | Avg loss: 1.6384 | Prec@1(avg) 45.49 % | Prec@5(avg) 84.79 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 140/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2089
Learning rate: 0.00030000 | Curr loss: 0.6547 | Avg loss: 1.5793 | Prec@1(avg) 47.95 % | Prec@5(avg) 85.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 150/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2089
Learning rate: 0.00030000 | Curr loss: 0.8498 | Avg loss: 1.5242 | Prec@1(avg) 50.14 % | Prec@5(avg) 86.69 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 160/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2119
Learning rate: 0.00030000 | Curr loss: 1.0471 | Avg loss: 1.4765 | Prec@1(avg) 52.07 % | Prec@5(avg) 87.36 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 170/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2153
Learning rate: 0.00030000 | Curr loss: 0.6325 | Avg loss: 1.4310 | Prec@1(avg) 53.59 % | Prec@5(avg) 88.02 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 180/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2175
Learning rate: 0.00030000 | Curr loss: 0.4895 | Avg loss: 1.3858 | Prec@1(avg) 55.31 % | Prec@5(avg) 88.60 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 190/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2214
Learning rate: 0.00030000 | Curr loss: 0.4943 | Avg loss: 1.3487 | Prec@1(avg) 56.67 % | Prec@5(avg) 89.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2220
Learning rate: 0.00030000 | Curr loss: 0.6697 | Avg loss: 1.3088 | Prec@1(avg) 58.14 % | Prec@5(avg) 89.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2221
Learning rate: 0.00030000 | Curr loss: 0.4269 | Avg loss: 1.2676 | Prec@1(avg) 59.58 % | Prec@5(avg) 90.02 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2238
Learning rate: 0.00030000 | Curr loss: 0.8507 | Avg loss: 1.2348 | Prec@1(avg) 60.70 % | Prec@5(avg) 90.45 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2227
Learning rate: 0.00030000 | Curr loss: 0.8359 | Avg loss: 1.2056 | Prec@1(avg) 61.66 % | Prec@5(avg) 90.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2185
Learning rate: 0.00030000 | Curr loss: 0.3402 | Avg loss: 1.1777 | Prec@1(avg) 62.54 % | Prec@5(avg) 91.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2209
Learning rate: 0.00030000 | Curr loss: 0.5231 | Avg loss: 1.1504 | Prec@1(avg) 63.55 % | Prec@5(avg) 91.47 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2174
Learning rate: 0.00030000 | Curr loss: 0.4895 | Avg loss: 1.1240 | Prec@1(avg) 64.43 % | Prec@5(avg) 91.76 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2179
Learning rate: 0.00030000 | Curr loss: 0.3811 | Avg loss: 1.0954 | Prec@1(avg) 65.40 % | Prec@5(avg) 92.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2203
Learning rate: 0.00030000 | Curr loss: 0.2669 | Avg loss: 1.0696 | Prec@1(avg) 66.32 % | Prec@5(avg) 92.28 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2223
Learning rate: 0.00030000 | Curr loss: 0.4131 | Avg loss: 1.0468 | Prec@1(avg) 67.05 % | Prec@5(avg) 92.51 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 300/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2219
Learning rate: 0.00030000 | Curr loss: 0.4747 | Avg loss: 1.0281 | Prec@1(avg) 67.72 % | Prec@5(avg) 92.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 310/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2236
Learning rate: 0.00030000 | Curr loss: 0.3158 | Avg loss: 1.0051 | Prec@1(avg) 68.52 % | Prec@5(avg) 92.92 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 320/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2223
Learning rate: 0.00030000 | Curr loss: 0.2101 | Avg loss: 0.9837 | Prec@1(avg) 69.23 % | Prec@5(avg) 93.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 330/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2236
Learning rate: 0.00030000 | Curr loss: 0.2793 | Avg loss: 0.9631 | Prec@1(avg) 69.90 % | Prec@5(avg) 93.34 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 340/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2240
Learning rate: 0.00030000 | Curr loss: 0.1977 | Avg loss: 0.9436 | Prec@1(avg) 70.54 % | Prec@5(avg) 93.52 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 350/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2238
Learning rate: 0.00030000 | Curr loss: 0.2923 | Avg loss: 0.9242 | Prec@1(avg) 71.19 % | Prec@5(avg) 93.70 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 360/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2246
Learning rate: 0.00030000 | Curr loss: 0.2601 | Avg loss: 0.9080 | Prec@1(avg) 71.70 % | Prec@5(avg) 93.86 %

