
========> The following is the setup for this run:

2021_7_29_1_51_14_data_mnist_arch_conv6a_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6a
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv6a_train
logterminal: True
save_stages: False
gpu_idx: ['7']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 28400.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['7'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 7 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6a, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.95 | Speed: (pics/sec):   631
Learning rate: 0.00030000 | Curr loss: 3.2044 | Avg loss: 4.2169 | Prec@1(avg) 15.33 % | Prec@5(avg) 51.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.57 | Speed: (pics/sec):  1052
Learning rate: 0.00030000 | Curr loss: 2.1614 | Avg loss: 3.3162 | Prec@1(avg) 17.67 % | Prec@5(avg) 55.42 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.45 | Speed: (pics/sec):  1324
Learning rate: 0.00030000 | Curr loss: 2.0967 | Avg loss: 2.9312 | Prec@1(avg) 18.94 % | Prec@5(avg) 61.22 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.40 | Speed: (pics/sec):  1505
Learning rate: 0.00030000 | Curr loss: 1.8294 | Avg loss: 2.6866 | Prec@1(avg) 25.21 % | Prec@5(avg) 69.46 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.38 | Speed: (pics/sec):  1578
Learning rate: 0.00030000 | Curr loss: 1.2047 | Avg loss: 2.4611 | Prec@1(avg) 32.23 % | Prec@5(avg) 74.30 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.36 | Speed: (pics/sec):  1662
Learning rate: 0.00030000 | Curr loss: 0.8056 | Avg loss: 2.2128 | Prec@1(avg) 39.11 % | Prec@5(avg) 78.06 %

